healthboard,date,hai,ai,pc
Hywel Dda UHB,2021-08-29,5,35,14.0
Hywel Dda UHB,2021-09-05,15,65,23.0
Hywel Dda UHB,2021-09-12,7,75,9.0
Hywel Dda UHB,2021-09-19,3,84,4.0
Hywel Dda UHB,2021-09-26,6,78,8.0
Hywel Dda UHB,2021-10-03,13,67,19.0
Hywel Dda UHB,2021-10-10,18,94,19.0
Hywel Dda UHB,2021-10-17,39,115,34.0
Hywel Dda UHB,2021-10-24,36,139,26.0
Hywel Dda UHB,2021-10-31,23,146,16.0
Hywel Dda UHB,2021-11-07,18,150,12.0
Hywel Dda UHB,2021-11-14,13,138,9.0
Hywel Dda UHB,2021-11-21,11,129,9.0
Hywel Dda UHB,2021-11-28,6,93,6.0
Hywel Dda UHB,2021-12-05,9,78,12.0
Hywel Dda UHB,2021-12-12,11,69,16.0
Hywel Dda UHB,2021-12-19,9,57,16.0
Hywel Dda UHB,2021-12-26,16,71,23.0
Hywel Dda UHB,2022-01-02,41,117,35.0
Hywel Dda UHB,2022-01-09,40,165,24.0
Hywel Dda UHB,2022-01-16,52,201,26.0
Hywel Dda UHB,2022-01-23,38,212,18.0
Hywel Dda UHB,2022-01-30,18,181,10.0
Hywel Dda UHB,2022-02-06,28,152,18.0
Hywel Dda UHB,2022-02-13,21,128,16.0
Hywel Dda UHB,2022-02-20,22,107,21.0
Hywel Dda UHB,2022-02-27,31,115,27.0
Hywel Dda UHB,2022-03-06,31,116,27.0
Hywel Dda UHB,2022-03-13,48,136,35.0
Hywel Dda UHB,2022-03-20,46,171,27.0
Hywel Dda UHB,2022-03-27,54,201,27.0
Cwm Taf Morgannwg UHB,2020-03-01,0,0,0.0
Cwm Taf Morgannwg UHB,2020-03-08,0,0,0.0
Cwm Taf Morgannwg UHB,2020-03-15,0,0,0.0
Cwm Taf Morgannwg UHB,2020-03-22,1,13,8.0
Cwm Taf Morgannwg UHB,2020-03-29,13,64,20.0
Cwm Taf Morgannwg UHB,2020-04-05,58,162,36.0
Cwm Taf Morgannwg UHB,2020-04-12,46,212,22.0
Cwm Taf Morgannwg UHB,2020-04-19,34,206,17.0
Cwm Taf Morgannwg UHB,2020-04-26,36,193,19.0
Cwm Taf Morgannwg UHB,2020-05-03,26,170,15.0
Cwm Taf Morgannwg UHB,2020-05-10,36,144,25.0
Cwm Taf Morgannwg UHB,2020-05-17,25,134,19.0
Cwm Taf Morgannwg UHB,2020-05-24,37,141,26.0
Cwm Taf Morgannwg UHB,2020-05-31,11,119,9.0
Cwm Taf Morgannwg UHB,2020-06-07,7,81,9.0
Cwm Taf Morgannwg UHB,2020-06-14,8,59,14.0
Cwm Taf Morgannwg UHB,2020-06-21,3,33,9.0
Cwm Taf Morgannwg UHB,2020-06-28,5,28,18.0
Cwm Taf Morgannwg UHB,2020-07-05,4,16,25.0
Cwm Taf Morgannwg UHB,2020-07-12,2,13,15.0
Cwm Taf Morgannwg UHB,2020-07-19,1,12,8.0
Cwm Taf Morgannwg UHB,2020-07-26,1,9,11.0
Cwm Taf Morgannwg UHB,2020-08-02,2,5,40.0
Cwm Taf Morgannwg UHB,2020-08-09,2,10,20.0
Cwm Taf Morgannwg UHB,2020-08-16,1,7,14.0
Cwm Taf Morgannwg UHB,2020-08-23,1,7,14.0
Cwm Taf Morgannwg UHB,2020-08-30,2,5,40.0
Cwm Taf Morgannwg UHB,2020-09-06,0,5,0.0
Cwm Taf Morgannwg UHB,2020-09-13,4,15,27.0
Cwm Taf Morgannwg UHB,2020-09-20,25,57,44.0
Cwm Taf Morgannwg UHB,2020-09-27,39,112,35.0
Cwm Taf Morgannwg UHB,2020-10-04,45,148,30.0
Cwm Taf Morgannwg UHB,2020-10-11,61,220,28.0
Cwm Taf Morgannwg UHB,2020-10-18,45,241,19.0
Cwm Taf Morgannwg UHB,2020-10-25,55,298,18.0
Cwm Taf Morgannwg UHB,2020-11-01,83,378,22.0
Cwm Taf Morgannwg UHB,2020-11-08,61,415,15.0
Cwm Taf Morgannwg UHB,2020-11-15,46,372,12.0
Cwm Taf Morgannwg UHB,2020-11-22,34,333,10.0
Cwm Taf Morgannwg UHB,2020-11-29,55,285,19.0
Cwm Taf Morgannwg UHB,2020-12-06,44,302,15.0
Cwm Taf Morgannwg UHB,2020-12-13,93,420,22.0
Cwm Taf Morgannwg UHB,2020-12-20,78,502,16.0
Cwm Taf Morgannwg UHB,2020-12-27,40,499,8.0
Cwm Taf Morgannwg UHB,2021-01-03,57,560,10.0
Cwm Taf Morgannwg UHB,2021-01-10,69,509,14.0
Cwm Taf Morgannwg UHB,2021-01-17,27,355,8.0
Cwm Taf Morgannwg UHB,2021-01-24,31,313,10.0
Cwm Taf Morgannwg UHB,2021-01-31,36,246,15.0
Cwm Taf Morgannwg UHB,2021-02-07,18,159,11.0
Cwm Taf Morgannwg UHB,2021-02-14,13,127,10.0
Cwm Taf Morgannwg UHB,2021-02-21,15,109,14.0
Cwm Taf Morgannwg UHB,2021-02-28,6,81,7.0
Cwm Taf Morgannwg UHB,2021-03-07,6,54,11.0
Cwm Taf Morgannwg UHB,2021-03-14,2,46,4.0
Cwm Taf Morgannwg UHB,2021-03-21,6,30,20.0
Cwm Taf Morgannwg UHB,2021-03-28,2,35,6.0
Cwm Taf Morgannwg UHB,2021-04-04,0,30,0.0
Cwm Taf Morgannwg UHB,2021-04-11,2,17,12.0
Cwm Taf Morgannwg UHB,2021-04-18,6,16,38.0
Cwm Taf Morgannwg UHB,2021-04-25,2,13,15.0
Cwm Taf Morgannwg UHB,2021-05-02,1,9,11.0
Cwm Taf Morgannwg UHB,2021-05-09,0,13,0.0
Cwm Taf Morgannwg UHB,2021-05-16,0,7,0.0
Cwm Taf Morgannwg UHB,2021-05-23,2,7,29.0
Cwm Taf Morgannwg UHB,2021-05-30,0,4,0.0
Cwm Taf Morgannwg UHB,2021-06-06,2,7,29.0
Cwm Taf Morgannwg UHB,2021-06-13,0,7,0.0
Cwm Taf Morgannwg UHB,2021-06-20,1,5,20.0
Cwm Taf Morgannwg UHB,2021-06-27,2,5,40.0
Cwm Taf Morgannwg UHB,2021-07-04,0,5,0.0
Cwm Taf Morgannwg UHB,2021-07-11,1,6,17.0
Cwm Taf Morgannwg UHB,2021-07-18,3,21,14.0
Cwm Taf Morgannwg UHB,2021-07-25,1,25,4.0
Cwm Taf Morgannwg UHB,2021-08-01,0,28,0.0
Cwm Taf Morgannwg UHB,2021-08-08,1,37,3.0
Cwm Taf Morgannwg UHB,2021-08-15,0,21,0.0
Cwm Taf Morgannwg UHB,2021-08-22,4,31,13.0
Cwm Taf Morgannwg UHB,2021-08-29,7,54,13.0
Cwm Taf Morgannwg UHB,2021-09-05,27,92,29.0
Cwm Taf Morgannwg UHB,2021-09-12,20,136,15.0
Cwm Taf Morgannwg UHB,2021-09-19,42,144,29.0
Cwm Taf Morgannwg UHB,2021-09-26,28,169,17.0
Cwm Taf Morgannwg UHB,2021-10-03,36,192,19.0
Cwm Taf Morgannwg UHB,2021-10-10,32,191,17.0
Cwm Taf Morgannwg UHB,2021-10-17,21,180,12.0
Cwm Taf Morgannwg UHB,2021-10-24,7,166,4.0
Cwm Taf Morgannwg UHB,2021-10-31,11,168,7.0
Cwm Taf Morgannwg UHB,2021-11-07,13,155,8.0
Cwm Taf Morgannwg UHB,2021-11-14,24,153,16.0
Cwm Taf Morgannwg UHB,2021-11-21,13,125,10.0
Cwm Taf Morgannwg UHB,2021-11-28,11,112,10.0
Cwm Taf Morgannwg UHB,2021-12-05,10,94,11.0
Cwm Taf Morgannwg UHB,2021-12-12,3,69,4.0
Cwm Taf Morgannwg UHB,2021-12-19,8,47,17.0
Cwm Taf Morgannwg UHB,2021-12-26,34,85,40.0
Cwm Taf Morgannwg UHB,2022-01-02,42,166,25.0
Cwm Taf Morgannwg UHB,2022-01-09,31,196,16.0
Cwm Taf Morgannwg UHB,2022-01-16,33,224,15.0
Cwm Taf Morgannwg UHB,2022-01-23,51,238,21.0
Cwm Taf Morgannwg UHB,2022-01-30,55,218,25.0
Cwm Taf Morgannwg UHB,2022-02-06,26,191,14.0
Cwm Taf Morgannwg UHB,2022-02-13,29,177,16.0
Cwm Taf Morgannwg UHB,2022-02-20,13,139,9.0
